step,candidate_term,lr_stat,df_diff,p_value,candidate_model
0,C(tense):C(syntactic_role),73.9527112739379,5,1.538574305732705e-14,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role
0,C(tense):C(valence),42.38620514868671,5,4.920046866122754e-08,selected_mixed_random_slopes__candidate__0__C_tense_C_valence
0,C(tense):C(dominance),28.86341551627993,5,2.4662877703497974e-05,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance
0,C(syntactic_role):C(valence),32.777690517832525,1,1.0332389193645009e-08,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence
0,C(syntactic_role):C(dominance),0.9237025402107975,1,0.3365046804329442,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance
0,C(valence):C(dominance),153.6837403332902,1,2.715467249574217e-35,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance
1,C(tense):C(syntactic_role),73.94249079540896,5,1.5461448842885523e-14,selected_mixed_random_slopes__candidate__1__C_tense_C_syntactic_role
1,C(tense):C(valence),42.380285389233904,5,4.933645007293183e-08,selected_mixed_random_slopes__candidate__1__C_tense_C_valence
1,C(tense):C(dominance),28.85941463115887,5,2.470746844846577e-05,selected_mixed_random_slopes__candidate__1__C_tense_C_dominance
1,C(syntactic_role):C(valence),32.77314049987035,1,1.0356602724564742e-08,selected_mixed_random_slopes__candidate__1__C_syntactic_role_C_valence
1,C(valence):C(dominance),153.6627287819647,1,2.7443309626807015e-35,selected_mixed_random_slopes__candidate__1__C_valence_C_dominance
